,Severity_Fatal,Severity_Incident,Severity_Non-Fatal,Severity_Unknown,Damage_Destroyed,Damage_Minor,Damage_Substantial,Damage_Unknown,Severe_Casualties_%
"('Helicopter', 'Helicopter')",22.599265348959243,1.3118768584922162,73.86741297883506,2.221444813713486,22.098853868194844,1.9878223495702003,75.64469914040114,0.26862464183381085,
"('Airplane', 'Airplane')",19.511760739864393,2.3775903522497424,76.6642496406264,1.446399267259474,21.430350704686987,3.1215994755817764,75.31694526384793,0.13110455588331696,
Helicopter,,,,,,,,,34.77348259576701
Airplane,,,,,,,,,26.98545968018929
