Aircraft.Category,Aircraft.Category,Fatal,Incident,Non-Fatal,Unknown
Helicopter,Helicopter,22.599265348959243,1.3118768584922162,73.86741297883506,2.221444813713486
Airplane,Airplane,19.511760739864393,2.3775903522497424,76.6642496406264,1.446399267259474
